MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
66:fe:95:ab:8d:aa,Cat S75,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],2025-04-07 10:17:22,149,5745,-90,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
0e:ea:14:a7:86:6a,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2025-04-07 10:17:22,40,5200,-90,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
00:3a:7d:a2:7b:7c,IKT-Agder_Eksamen,[ESS],2025-04-07 10:17:22,52,5260,-88,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
00:3a:7d:a2:7b:7e,IKT-Agder_Gjest,[ESS],2025-04-07 10:17:22,52,5260,-86,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
00:3a:7d:75:3e:0c,IKT-Agder_Eksamen,[ESS],2025-04-07 10:17:22,132,5660,-53,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
60:22:32:8d:bf:b4,2ITA,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2025-04-07 10:17:22,48,5240,-54,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
60:22:32:8d:bf:b3,2ITA,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2025-04-07 10:17:22,1,2412,-53,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
66:22:32:8d:bf:b3,2ITB,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2025-04-07 10:17:22,1,2412,-53,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
00:3a:7d:75:3e:0e,IKT-Agder_Gjest,[ESS],2025-04-07 10:17:22,132,5660,-53,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
00:3a:7d:75:3e:0f,IKT-Agder_Intern,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2025-04-07 10:17:22,132,5660,-53,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
00:3a:7d:75:3e:00,IKT-Agder_Intern,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2025-04-07 10:17:22,11,2462,-52,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
6a:22:32:8d:bf:b4,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2025-04-07 10:17:22,48,5240,-54,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
38:0e:4d:fb:3e:ac,IKT-Agder_Eksamen,[ESS],2025-04-07 10:17:22,140,5700,-84,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
6a:22:32:8d:bf:b3,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2025-04-07 10:17:22,1,2412,-53,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
6e:22:32:8d:bc:94,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2025-04-07 10:17:22,44,5220,-81,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
00:3a:7d:75:3e:03,IKT-Agder_Eksamen,[ESS],2025-04-07 10:17:22,11,2462,-51,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
00:3a:7d:a2:7b:7f,IKT-Agder_Intern,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2025-04-07 10:17:22,52,5260,-87,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
72:22:32:8d:bc:94,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2025-04-07 10:17:22,44,5220,-81,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
00:3a:7d:75:3e:01,IKT-Agder_Gjest,[ESS],2025-04-07 10:17:22,11,2462,-53,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
38:0e:4d:fb:3e:af,IKT-Agder_Intern,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2025-04-07 10:17:22,140,5700,-84,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
38:0e:4d:fb:3e:ae,IKT-Agder_Gjest,[ESS],2025-04-07 10:17:22,140,5700,-83,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
66:22:32:8d:bc:94,2ITB,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2025-04-07 10:17:22,44,5220,-81,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
6a:14:01:15:30:2f,DIRECT-gQ-BRAVIA,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2025-04-07 10:17:22,6,2437,-81,58.1476226845655,8.009053258810813,63.32579502022588,200,,,WIFI
6f:59:df:1a:1d:46,,Uncategorized;10,2025-04-07 10:17:22,,7936,-71,58.1476226845655,8.009053258810813,63.32579502022588,200,,,BT
7b:99:71:ab:d5:81,,Uncategorized;10,2025-04-07 10:17:22,,7936,-56,58.1476226845655,8.009053258810813,63.32579502022588,200,,,BT
68:14:01:15:30:30,,Misc,2025-04-07 10:17:22,,,-90,58.1476226845655,8.009053258810813,63.32579502022588,200,,,BLE
5c:17:cf:fe:f3:e1,Aleksander OPN,Smartphone;10,2025-04-07 10:17:22,,524,-76,58.1476226845655,8.009053258810813,63.32579502022588,200,,,BT
66:0c:23:4e:f2:cf,,Uncategorized;10,2025-04-07 10:17:22,,7936,-81,58.1476226845655,8.009053258810813,63.32579502022588,200,,,BT
76:39:28:e6:9b:ac,,Uncategorized;10,2025-04-07 10:17:22,,7936,-58,58.1476226845655,8.009053258810813,63.32579502022588,200,,,BT
57:40:a6:25:19:7d,,Uncategorized;10,2025-04-07 10:17:22,,7936,-78,58.1476226845655,8.009053258810813,63.32579502022588,200,,,BT
57:a6:91:37:e7:99,,Uncategorized;10,2025-04-07 10:17:22,,7936,-60,58.1476226845655,8.009053258810813,63.32579502022588,200,,,BT
71:f8:97:11:1c:67,,Uncategorized;10,2025-04-07 10:17:22,,7936,-75,58.1476226845655,8.009053258810813,63.32579502022588,200,,,BT
57:d6:78:d2:c4:3f,,Uncategorized;10,2025-04-07 10:17:22,,7936,-80,58.1476226845655,8.009053258810813,63.32579502022588,200,,,BT
6d:af:02:c9:68:be,,Uncategorized;10,2025-04-07 10:17:26,,7936,-81,58.14762090846227,8.009062510724808,19.500729732199968,200,,,BT
45:fb:a4:68:fe:95,,Uncategorized;10,2025-04-07 10:17:26,,7936,-66,58.14762090846227,8.009062510724808,19.500729732199968,200,,,BT
4a:59:03:dc:a3:03,,Uncategorized;10,2025-04-07 10:17:27,,7936,-73,58.14761711330448,8.009052798051336,11.739967439286675,192,,,BT
